epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1948.31,1.3423,1.84825,1.14222,0.5781,0.7135,0.69039,0.25455,2.0836,1.95786,1.51814,0.00020909,0.00020909,0.00020909
43,1972.54,1.32867,1.33542,1.08821,0.64219,0.73042,0.70238,0.26093,2.10355,1.96678,1.52471,0.000187092,0.000187092,0.000187092
44,1996.92,1.23891,1.25108,1.07674,0.62891,0.74066,0.70948,0.26877,2.12949,1.96408,1.54454,0.000165095,0.000165095,0.000165095
45,2020.85,1.07285,1.35657,1.01743,0.61487,0.77044,0.71014,0.26529,2.1314,1.93456,1.54768,0.000143097,0.000143097,0.000143097
46,2046.76,1.35897,1.34517,1.09319,0.78457,0.65825,0.74273,0.28108,2.14832,1.86571,1.5714,0.000121099,0.000121099,0.000121099
47,2071.73,1.21723,1.55178,1.06251,0.67416,0.7707,0.74365,0.27757,2.1456,1.83622,1.57817,9.91012e-05,9.91012e-05,9.91012e-05
48,2095.3,1.12335,1.1575,1.03317,0.64073,0.80803,0.73459,0.28425,2.15008,1.80786,1.59551,7.71034e-05,7.71034e-05,7.71034e-05
49,2118.87,1.17023,1.6321,1.06806,0.63514,0.81556,0.73691,0.28582,2.15232,1.79977,1.60122,5.51056e-05,5.51056e-05,5.51056e-05
50,2142.25,1.12868,1.33502,1.11234,0.6394,0.81971,0.73761,0.2852,2.16294,1.8066,1.60998,3.31078e-05,3.31078e-05,3.31078e-05
1,28.7329,2.05074,4.63559,1.47237,0.00279,0.11154,0.01409,0.00163,1.8327,4.97276,1.37567,5.555e-05,5.555e-05,5.555e-05
2,53.3049,1.86964,4.30681,1.35891,0.00429,0.34863,0.07153,0.04134,1.86695,4.82553,1.27416,0.00011979,0.00011979,0.00011979
3,78.2284,1.86604,3.69954,1.31421,0.00375,0.47513,0.15036,0.0654,1.91362,4.60188,1.2771,0.000181391,0.000181391,0.000181391
4,102.239,1.76418,3.05848,1.22508,0.00518,0.64145,0.23671,0.07735,1.90628,4.50198,1.23217,0.000240352,0.000240352,0.000240352
5,126.984,1.67795,2.89742,1.21364,0.00513,0.78179,0.23051,0.08718,1.91765,4.43148,1.22605,0.000296673,0.000296673,0.000296673
6,151.887,1.73369,2.73726,1.13894,0.00509,0.84607,0.21495,0.09926,1.87931,4.27749,1.20399,0.000350354,0.000350354,0.000350354
7,177.112,1.6736,2.43765,1.1183,0.00558,0.94222,0.31688,0.11793,1.82649,4.10399,1.21543,0.000401395,0.000401395,0.000401395
8,202.459,1.67265,2.13974,1.15347,0.00568,0.86923,0.28757,0.11225,1.87396,4.00851,1.23024,0.000449797,0.000449797,0.000449797
9,228.726,1.74781,2.35352,1.19897,0.00528,0.88,0.45725,0.15174,1.83442,4.02222,1.27512,0.000495559,0.000495559,0.000495559
