epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,935.322,1.77201,2.86719,1.52223,0.78213,0.62763,0.70826,0.44368,1.33569,1.65942,1.22335,0.00027564,0.00027564,0.00027564
2,5505.4,1.5561,1.86167,1.35374,0.83408,0.68571,0.77535,0.51985,1.26884,1.36753,1.15527,0.000542351,0.000542351,0.000542351
3,7528.02,1.52333,1.68346,1.33266,0.83015,0.70287,0.78139,0.52618,1.22582,1.32204,1.15582,0.000798067,0.000798067,0.000798067
4,8573.97,1.49306,1.57024,1.31272,0.89444,0.72137,0.81629,0.54401,1.22957,1.1885,1.13606,0.00078352,0.00078352,0.00078352
5,9550.41,1.48342,1.50604,1.30934,0.91315,0.70658,0.81837,0.56772,1.17841,1.0758,1.10648,0.000767026,0.000767026,0.000767026
6,10707.3,1.43119,1.40959,1.26385,0.92761,0.74253,0.83888,0.59859,1.12112,1.02186,1.08665,0.000750533,0.000750533,0.000750533
7,11880.5,1.41081,1.35851,1.24921,0.89445,0.73529,0.82838,0.5922,1.11578,1.01957,1.08834,0.00073404,0.00073404,0.00073404
